iter	RMSE
0	9708.650836
1	9420.901137
2	9160.933978
3	8902.751763
4	8681.64033
5	8466.317101
6	8255.441139
7	8053.158649
8	7889.87733
9	7701.393122
10	7527.090063
11	7365.763297
12	7195.565409
13	7031.594897
14	6876.814563
15	6734.265143
16	6596.592794
17	6472.530719
18	6350.736405
19	6237.834622
20	6130.276225
21	6045.06939
22	5946.134273
23	5872.855283
24	5790.2536
25	5696.295114
26	5606.549841
27	5529.42499
28	5455.003068
29	5377.781305
30	5305.669698
31	5246.445184
32	5187.382209
33	5135.414237
34	5079.11171
35	5031.51789
36	4985.586182
37	4937.761904
38	4890.058958
39	4852.787901
40	4810.04877
41	4772.224156
42	4743.363344
43	4710.835953
44	4677.269474
45	4647.296235
46	4619.736588
47	4589.38326
48	4563.575823
49	4539.89406
50	4516.546649
51	4496.182122
52	4475.460752
53	4456.825973
54	4441.39472
55	4425.69583
56	4410.503775
57	4397.136954
58	4380.994148
59	4367.485815
60	4354.175316
61	4342.571861
62	4331.029327
63	4319.368208
64	4305.660855
65	4298.978329
66	4290.507629
67	4282.060808
68	4272.395783
69	4262.621117
70	4251.294487
71	4241.306755
72	4233.080817
73	4225.910229
74	4218.506489
75	4210.92808
76	4202.439726
77	4193.278386
78	4191.421424
79	4182.107626
80	4172.281398
81	4166.274268
82	4160.84842
83	4154.91373
84	4151.658137
85	4147.877735
86	4144.107976
87	4138.200613
88	4132.46448
89	4130.758687
90	4126.54032
91	4124.230243
92	4120.800633
93	4116.383266
94	4112.13787
95	4107.112442
96	4099.842543
97	4095.912711
98	4093.069779
99	4091.131505
100	4088.254311
101	4084.072591
102	4079.787222
103	4073.254154
104	4069.086291
105	4065.023164
106	4060.458532
107	4057.539408
108	4052.08681
109	4049.482104
110	4047.076829
111	4040.917351
112	4038.972974
113	4035.846808
114	4031.067965
115	4028.436862
116	4025.730791
117	4021.922876
118	4017.813024
119	4013.790813
120	4008.211107
121	4007.075754
122	4004.212462
123	3996.548288
124	3993.934764
125	3993.33294
126	3985.323245
127	3976.6087
128	3974.385615
129	3971.01904
130	3965.964947
131	3964.185142
132	3960.615294
133	3959.082102
134	3956.845681
135	3955.767407
136	3953.882097
137	3951.502443
138	3949.342106
139	3946.862763
140	3944.628438
141	3942.017417
142	3936.133811
143	3933.834814
144	3932.24538
145	3931.029323
146	3928.496372
147	3925.763783
148	3924.581498
149	3923.521149
150	3923.01372
151	3919.711405
152	3915.774657
153	3914.579269
154	3911.140566
155	3908.499729
156	3906.914612
157	3905.001459
158	3901.192906
159	3899.306689
160	3894.137264
161	3890.698382
162	3888.069451
163	3886.536898
164	3885.114271
165	3882.209103
166	3880.620376
167	3875.237442
168	3870.116298
169	3867.977799
170	3865.904432
171	3863.828615
172	3861.873368
173	3859.357066
174	3858.176779
175	3855.288379
176	3852.551663
177	3850.594375
178	3844.799741
179	3841.635165
180	3838.358404
181	3836.288447
182	3833.880613
183	3830.069796
184	3827.211096
185	3825.495058
186	3824.262199
187	3820.788225
188	3818.542275
189	3817.537639
190	3815.990271
191	3814.341477
192	3811.83818
193	3809.702334
194	3808.253486
195	3804.182923
196	3801.855819
197	3799.163973
198	3796.085455
199	3792.26827
200	3790.773551
201	3788.135147
202	3785.739478
203	3782.860687
204	3780.241465
205	3777.845629
206	3775.729315
207	3772.775901
208	3771.029748
209	3763.691217
210	3762.339112
211	3757.550043
212	3757.323613
213	3755.267419
214	3753.704181
215	3751.042951
216	3749.347085
217	3747.820956
218	3746.311457
219	3745.023214
220	3741.741886
221	3740.284116
222	3737.932869
223	3736.775714
224	3735.587858
225	3733.885211
226	3731.57046
227	3728.003237
228	3724.175941
229	3722.988094
230	3721.142745
231	3720.665673
232	3719.111375
233	3717.945448
234	3714.327696
235	3713.614458
236	3709.695891
237	3707.16595
238	3702.240982
239	3698.397897
240	3696.355223
241	3693.363226
242	3691.631565
243	3689.250652
244	3687.361252
245	3685.813488
246	3683.646657
247	3682.067836
248	3680.914838
249	3680.757913
250	3678.772638
251	3677.203116
252	3673.773893
253	3672.141238
254	3667.443882
255	3666.710207
256	3665.599124
257	3662.848731
258	3661.052331
259	3657.235351
260	3656.292486
261	3652.68601
262	3649.040113
263	3647.389658
264	3645.942573
265	3644.079831
266	3641.494931
267	3640.348942
268	3639.297604
269	3638.535539
270	3634.990639
271	3631.944368
272	3629.95806
273	3626.85328
274	3624.678107
275	3621.200989
276	3620.089626
277	3618.744321
278	3617.064903
279	3615.286598
280	3610.886247
