iter	Passed	Remaining
0	1	1713
1	2	1250
2	3	1296
3	5	1291
4	5	1131
5	7	1166
6	8	1192
7	10	1314
8	11	1224
9	12	1247
10	13	1257
11	15	1262
12	16	1254
13	17	1258
14	19	1260
15	20	1253
16	21	1252
17	23	1255
18	24	1272
19	26	1282
20	27	1277
21	27	1244
22	29	1241
23	29	1204
24	30	1200
25	31	1197
26	33	1195
27	34	1194
28	35	1189
29	36	1184
30	37	1180
31	39	1184
32	40	1186
33	41	1184
34	42	1183
35	44	1181
36	45	1178
37	46	1180
38	47	1176
39	48	1165
40	49	1163
41	50	1159
42	51	1148
43	53	1158
44	54	1159
45	55	1157
46	57	1157
47	58	1155
48	59	1147
49	60	1145
50	61	1143
51	62	1142
52	63	1141
53	65	1141
54	66	1140
55	67	1146
56	69	1148
57	70	1149
58	72	1148
59	73	1146
60	74	1146
61	75	1145
62	77	1145
63	78	1143
64	79	1142
65	79	1130
66	81	1129
67	82	1130
68	83	1132
69	85	1131
70	86	1130
71	87	1127
72	88	1124
73	89	1122
74	90	1119
75	91	1116
76	92	1114
77	94	1111
78	94	1100
79	95	1098
80	97	1100
81	98	1099
82	99	1098
83	100	1096
84	101	1095
85	102	1094
86	104	1091
87	105	1089
88	106	1087
89	106	1078
90	107	1077
91	109	1076
92	110	1074
93	112	1081
94	113	1080
95	114	1078
96	115	1077
97	116	1075
98	117	1073
99	118	1067
100	119	1066
101	121	1065
102	122	1063
103	123	1061
104	124	1059
105	125	1058
106	126	1057
107	127	1056
108	129	1055
109	130	1055
110	131	1054
111	132	1053
112	134	1051
113	135	1050
114	136	1048
115	137	1047
116	138	1046
117	140	1048
118	141	1048
119	142	1047
120	144	1047
121	145	1044
122	146	1044
123	147	1042
124	148	1041
125	149	1036
126	150	1035
127	151	1035
128	153	1036
129	154	1035
130	155	1034
131	157	1033
132	158	1031
133	159	1029
134	160	1027
135	161	1024
136	162	1022
137	163	1022
138	164	1021
139	166	1020
140	167	1018
141	170	1027
142	171	1027
143	172	1027
144	174	1027
145	175	1026
146	176	1024
