iter	RMSE
0	11972.94099
1	11878.2994
2	11794.80725
3	11707.60949
4	11626.42507
5	11546.14386
6	11457.77867
7	11373.00477
8	11289.63789
9	11209.64458
10	11125.83772
11	11053.39943
12	10977.88936
13	10914.96683
14	10840.19436
15	10767.90195
16	10692.72844
17	10621.98556
18	10549.9679
19	10482.22644
20	10407.1097
21	10340.02108
22	10272.28327
23	10208.3362
24	10137.8273
25	10067.17284
26	10000.01964
27	9931.787106
28	9869.281298
29	9804.702106
30	9736.933253
31	9674.287612
32	9608.854616
33	9549.528638
34	9482.291463
35	9422.979696
36	9362.598917
37	9302.169727
38	9245.005011
39	9185.498624
40	9127.562917
41	9069.570265
42	9012.705362
43	8955.551813
44	8901.356468
45	8843.512385
46	8789.182599
47	8736.798282
48	8686.115037
49	8632.624687
50	8576.368529
51	8522.620222
52	8474.750842
53	8430.261454
54	8378.43767
55	8329.082424
56	8277.854628
57	8227.075553
58	8175.439702
59	8124.278384
60	8078.463668
61	8030.304663
62	7983.418553
63	7938.031718
64	7894.975525
65	7847.605271
66	7805.953345
67	7763.438547
68	7718.861428
69	7676.885624
70	7634.986972
71	7593.466468
72	7552.231033
73	7511.749347
74	7468.890774
75	7426.411794
76	7388.350193
77	7345.01026
78	7304.633939
79	7266.452549
80	7227.585319
81	7189.367464
82	7152.594242
83	7115.313307
84	7079.657629
85	7042.619944
86	7006.476271
87	6973.457666
88	6941.992147
89	6908.32724
90	6876.682045
91	6840.52352
92	6806.998507
93	6773.116373
94	6741.029471
95	6710.290802
96	6678.68518
97	6649.817157
98	6619.344254
99	6588.129941
100	6557.133711
101	6528.724523
102	6499.983144
103	6472.74072
104	6446.252023
105	6415.90077
106	6391.458372
107	6366.18094
108	6337.839329
109	6312.50561
110	6289.1221
111	6260.389492
112	6232.643685
113	6205.863236
114	6180.502199
115	6154.625851
116	6131.561828
117	6108.125197
118	6085.288142
119	6061.205893
120	6037.982693
121	6017.337645
122	5994.026182
123	5971.278399
124	5950.196716
125	5933.824619
126	5910.534043
127	5890.09164
128	5869.433195
129	5848.87307
130	5828.528674
131	5809.807553
132	5789.392552
133	5770.046222
134	5752.858955
135	5732.180305
136	5712.138495
137	5693.937683
138	5675.541227
139	5656.732649
140	5637.482207
141	5619.53489
142	5604.407932
143	5586.152035
144	5568.45697
145	5554.85321
146	5537.441598
147	5519.525529
148	5502.064612
149	5486.030046
150	5470.16938
151	5454.393065
152	5440.70518
153	5424.726317
154	5409.384892
155	5394.199653
156	5379.494692
157	5363.608222
158	5350.917162
159	5336.116404
160	5322.082021
161	5308.278781
162	5294.603325
163	5282.811312
164	5269.012856
165	5255.860669
166	5242.158307
167	5230.422014
168	5217.005113
169	5206.290568
170	5193.035172
171	5180.805013
172	5168.274005
173	5156.92031
174	5144.842595
175	5133.084881
176	5122.33934
177	5110.798158
178	5099.145398
179	5087.94233
180	5077.21654
181	5068.093671
182	5057.243034
183	5048.210807
184	5037.16971
185	5026.987617
186	5016.653274
187	5005.538892
188	4996.097751
189	4987.499587
190	4977.724181
191	4968.966861
192	4960.166529
193	4950.878248
194	4941.656146
195	4932.173734
196	4923.965016
197	4916.105009
198	4906.880213
199	4898.185226
200	4889.783732
201	4881.940885
202	4874.266089
203	4865.572994
204	4857.081935
205	4849.023181
206	4841.358646
207	4833.34811
208	4824.985337
209	4816.735516
210	4808.689067
211	4801.019992
212	4793.132853
213	4786.44414
214	4778.761546
215	4771.667812
216	4765.305388
217	4759.283261
218	4752.234584
219	4745.298369
220	4738.520907
221	4732.323455
222	4725.370387
223	4719.299361
224	4713.637973
225	4707.379318
226	4700.757675
227	4693.889624
228	4688.12281
229	4681.893954
230	4675.610243
231	4669.81855
232	4664.961383
233	4659.409994
234	4654.112894
235	4649.003585
236	4644.266917
237	4638.343015
238	4632.759473
239	4627.776073
240	4622.16641
241	4616.926877
242	4612.773312
243	4607.376634
244	4603.368561
245	4598.335342
246	4593.32013
247	4588.400327
248	4583.324415
249	4578.930968
250	4574.349282
251	4569.569675
252	4565.302336
253	4560.897281
254	4558.57404
255	4554.754973
256	4550.803033
257	4546.799696
258	4542.4569
259	4538.084645
260	4534.258473
261	4529.806516
262	4525.706857
263	4521.303838
264	4517.365512
265	4513.525776
266	4509.526775
